№,Наименование специальности,Форма получения образования,
,,Платная,
,,Проходной балл,"Полупрохо
дной балл"
Полный срок получения высшего образования,,,
2 профильных испытания,,,
1,"6-05-0812-01 Техническое обеспечение
производства сельскохозяйственной продукции",126,
2,"6-05-0812-02 Техническое обеспечение хранения и
переработки сельскохозяйственной продукции",113,
3,"6-05-0812-03 Технический сервис в
агропромышленном комплексе",122,
4,"6-05-0812-04 Энергетическое обеспечение сельского
хозяйства",136,134
5,6-05-1021-01 Охрана труда на производстве,109,
6,6-05-0811-04 Агробизнес,88,
3 профильных испытания,,,
7,6-05-0412-01 Менеджмент,157,
Сокращенный срок получения высшего образования,,,
2 профильных испытания,,,
8,"6-05-0812-01 Техническое обеспечение
производства сельскохозяйственной продукции",150,
10,"6-05-0812-03 Технический сервис в
агропромышленном комплексе",142,
11,"6-05-0812-04 Энергетическое обеспечение сельского
хозяйства",139,
12,6-05-0811-04 Агробизнес,142,
